"Acceleration:0","Acceleration:1","Acceleration:2","Contact_Forces:0","Contact_Forces:1","Contact_Forces:2","Displacement:0","Displacement:1","Displacement:2","Mass_Change","NODE_ID","Velocity:0","Velocity:1","Velocity:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0,0,0,0,0,16125265.3017,0,0,0,3.34694057679e-15,3.20142137525e-15,7.1054271781e-20
336188382999,393727549018,-2.12030748955e+13,815.945518682,711.491207435,-108846.357563,-0.770777561045,-2.01367727977,-333.185065178,0,16121114.7436,135024.217092,155252.431327,-90957175.9483,-3.16537152685e-05,-5.68089162698e-05,-0.0265037771314
71915340416.1,-6120695456.07,-6.69914176643e+12,-2220.43194161,-6335.77827999,-116472.773935,-3.78757225561,-8.08063971278,-2174.51931758,0,16123733.5381,-1449019.79598,-3172957.65527,-252070679.895,-0.000137812821777,-0.000292983662803,-0.173026263714
6098259530.43,33946525091.1,2.46623750365e+12,-3651.60347846,-5630.11255244,-108721.382318,-11.7165670977,-18.4591575318,-4751.96472004,0,16129572.7008,-170224.313331,839120.449199,-242143960.247,-0.000639436417259,-0.0010186447762,-0.378718525171
-545692382380,-735621537923,2.60082826529e+12,-6336.38058682,-8457.59743088,-126632.961608,-8.70148372818,-21.8915677831,-7019.44718126,0,16136370.8523,-195971.286265,-2487071.46601,-209101757.965,-0.000557066407055,-0.00130530796014,-0.559404909611
311773100808,372037376056,-689658276832,-10270.5183858,-11214.7053874,-156479.213342,-29.0792105131,-49.9719491704,-9011.27205962,0,16142549.6958,-2586991.81855,-469623.328567,-195754922.242,-0.00164034403861,-0.00315426872112,-0.71793615818
341038550840,-763116879502,-2.97957709802e+12,-11424.6727549,-14854.9159076,-170738.332239,-63.3921581504,-67.9013899263,-11049.3226627,0,16147701.2827,-2895439.19636,-5452293.15422,-215411777.984,-0.0040969341062,-0.004683194682,-0.88021415472
100944175013,208080228680,-15540770021.8,-10640.2167354,-13621.6247012,-179770.696591,-109.171854869,-145.331493814,-13307.3388463,0,16151224.9158,-5605809.52515,-8330709.13154,-232034193.737,-0.0076889898628,-0.0102819046006,-1.06029009819
712713362248,786568072493,276528165376,-4941.78335931,-12512.0125565,-190354.152244,-147.463536152,-208.169940919,-15627.956993,0,16154816.1274,-1500194.30179,-3429324.87851,-230629961.381,-0.0108459675685,-0.015119404532,-1.24529993534
-1.41563812275e+12,-254711615345,-510932586027,-9843.08009137,-12419.3231731,-210171.285087,-133.297787759,-209.487243998,-17931.8710072,0,16157770.1424,804265.928986,971943.723476,-231554265.78,-0.0101744579151,-0.0157029666007,-1.42885005474
1.08255294329e+12,-71452377533.8,368043603192,-10096.0873849,-15524.7575131,-220174.316645,-171.599301465,-236.677197113,-20264.1503708,0,16160871.4324,-3624159.61588,-5550347.21768,-233191135.123,-0.0126219950616,-0.0176956541836,-1.61464440823
-191728499713,342424008968,1.61917863414e+12,-12853.6250258,-12878.7432117,-226249.738301,-179.033161447,-260.739595471,-22556.9920599,0,16164048.8704,-361325.791285,1997044.02815,-222173978.982,-0.0133733442053,-0.0195388849825,-1.79717111588
-151101618771,-282843648445,2.83674749519e+12,-8749.90702522,-15303.4582811,-237139.932719,-186.83075173,-273.403276425,-24680.1570385,0,16167675.7467,-957667.667405,-5870156.04077,-198842900.097,-0.0142652289942,-0.0206892676651,-1.96599030495
135974194902,483638328406,3.38946374651e+12,-5939.26934469,-15821.7324289,-239769.682117,-202.687653248,-313.463297942,-26516.3846454,0,16171386.064,-1426355.47932,-712922.562438,-168150407.502,-0.015429017134,-0.02338758111,-2.11177229881
-763302744312,-372767150961,2.89213738422e+12,-11463.1684575,-11336.4182086,-246430.162288,-226.859113791,-317.238812325,-28033.8100865,0,16173011.5914,-6576019.2124,-3211939.65352,-135948355.977,-0.0172120407224,-0.0242888368666,-2.23226523399
-133549211827,-721546587015,7.06863708723e+12,-11381.3711181,-18308.8462892,-208133.477353,-260.358047865,-352.435555468,-29259.7700644,0,16176398.4248,27945.2327536,-4699199.22778,-103393345.042,-0.0191686600447,-0.0264823269099,-2.32934975624
